id,staffid,age,gender,tenuretrack,nonenglish,courseevaluation,students,division,beauty
256,50,52,m,1,0,3.5,114,U,-0.74474394
257,50,52,m,1,0,3.8,149,U,-0.74474394
258,50,52,m,1,0,4.7,23,U,-0.74474394
259,50,52,m,1,0,3.9,98,U,-0.74474394
260,50,52,m,1,0,4.5,27,U,-0.74474394
261,50,52,m,1,0,4.2,30,U,-0.74474394
262,50,52,m,1,0,4.7,30,U,-0.74474394
263,50,52,m,1,0,4,69,U,-0.74474394
264,51,33,f,1,0,4.4,15,U,0.6361284
265,51,33,f,1,0,4.8,10,U,0.6361284
266,51,33,f,1,0,4.8,11,U,0.6361284
267,51,33,f,1,0,4.4,14,U,0.6361284
268,51,33,f,1,0,4.7,11,U,0.6361284
269,51,33,f,1,0,4.5,14,U,0.6361284
270,52,57,m,1,0,4.2,77,U,0.5434852
271,52,57,m,1,0,4.2,41,U,0.5434852
272,52,57,m,1,0,4.4,88,U,0.5434852
273,52,57,m,1,0,4.1,78,U,0.5434852
274,53,38,f,1,0,4.5,65,U,0.98259485
275,53,38,f,1,0,4.2,157,L,0.98259485
276,53,38,f,1,0,4.8,68,U,0.98259485
277,53,38,f,1,0,4.4,67,U,0.98259485
278,53,38,f,1,0,4.7,80,U,0.98259485
279,53,38,f,1,0,4.2,137,L,0.98259485
280,53,38,f,1,0,4.5,69,U,0.98259485
283,54,34,f,1,0,3.8,91,L,-1.538843
284,54,34,f,1,0,3.4,80,L,-1.538843
285,54,34,f,1,0,3.7,90,L,-1.538843
286,54,34,f,1,0,3.6,34,U,-1.538843
287,54,34,f,1,0,3.9,73,U,-1.538843
288,54,34,f,1,0,3.9,44,U,-1.538843
289,55,34,m,1,0,3.1,36,U,1.0675308
290,55,34,m,1,0,3.7,20,U,1.0675308
291,55,34,m,1,0,3,35,L,1.0675308
292,56,32,m,1,0,3.7,248,L,-0.4143639
293,56,32,m,1,0,3.6,168,L,-0.4143639
294,56,32,m,1,0,3.6,247,L,-0.4143639
295,56,32,m,1,0,4.3,22,U,-0.4143639
296,56,32,m,1,0,4.5,103,U,-0.4143639
297,57,42,f,1,0,3.9,62,L,0.7962944
298,57,42,f,1,0,3.9,82,U,0.7962944
299,58,43,f,1,0,4,51,L,-0.6466943
300,58,43,f,1,0,4.6,35,U,-0.6466943
301,58,43,f,1,0,4.1,34,L,-0.6466943
302,58,43,f,1,0,4.2,37,L,-0.6466943
303,58,43,f,1,0,4.1,14,L,-0.6466943
304,58,43,f,1,0,3.1,266,L,-0.6466943
305,58,43,f,1,0,3.6,254,L,-0.6466943
306,58,43,f,1,0,4.2,13,U,-0.6466943
307,58,43,f,1,0,3,282,L,-0.6466943
308,58,43,f,1,0,4.2,17,U,-0.6466943
309,59,35,m,1,1,3.3,19,U,-0.42990342
310,59,35,m,1,1,3.4,42,L,-0.42990342
311,60,62,f,1,0,3.1,27,U,-0.5924066
312,60,62,f,1,0,3.1,16,U,-0.5924066
313,60,62,f,1,0,2.7,19,U,-0.5924066
314,62,39,m,1,0,4.3,29,U,0.5546651
315,63,52,f,1,0,3.7,88,U,0.6851749
316,63,52,f,1,0,3.9,98,U,0.6851749
317,64,52,f,1,0,3.4,44,U,0.9755885
318,64,52,f,1,0,3.9,65,U,0.9755885
319,64,52,f,1,0,3.6,63,U,0.9755885
320,65,52,f,0,0,4.3,75,U,-1.1787382
321,65,52,f,0,0,3.7,43,U,-1.1787382
322,65,52,f,0,0,3.6,80,U,-1.1787382
323,65,52,f,0,0,4.4,52,U,-1.1787382
324,65,52,f,0,0,4.3,48,U,-1.1787382
325,65,52,f,0,0,4.1,66,U,-1.1787382
326,65,52,f,0,0,3.7,100,U,-1.1787382
327,66,64,m,1,0,3.7,11,U,-1.1575111
328,66,64,m,1,0,3.6,16,U,-1.1575111
329,66,64,m,1,0,2.8,22,U,-1.1575111
330,66,64,m,1,0,4,11,U,-1.1575111
331,66,64,m,1,0,4.4,10,U,-1.1575111
332,66,64,m,1,0,3.6,16,U,-1.1575111
333,67,50,m,1,0,4.2,16,U,1.3273463
334,67,50,m,1,0,3.7,10,U,1.3273463
335,68,60,m,1,0,2.2,32,U,-1.5112677
336,68,60,m,1,0,2.9,10,U,-1.5112677
337,68,60,m,1,0,2.6,16,U,-1.5112677
338,69,51,f,1,0,3,67,U,0.30347311
339,70,43,m,1,0,4.3,22,L,-0.57831174
340,70,43,m,1,0,4.8,28,L,-0.57831174
341,70,43,m,1,0,4.9,30,L,-0.57831174
342,70,43,m,1,0,4.3,15,L,-0.57831174
343,70,43,m,1,0,4.4,13,L,-0.57831174
344,70,43,m,1,0,4.3,18,L,-0.57831174
345,70,43,m,1,0,4.7,26,L,-0.57831174
346,70,43,m,1,0,4.3,30,L,-0.57831174
347,70,43,m,1,0,4.6,14,L,-0.57831174
348,71,50,m,0,0,4.6,24,L,-0.67193604
349,71,50,m,0,0,4.9,22,L,-0.67193604
350,71,50,m,0,0,4.8,25,L,-0.67193604
351,71,50,m,0,0,4.7,26,L,-0.67193604
352,71,50,m,0,0,4.8,22,L,-0.67193604
353,71,50,m,0,0,4.9,26,L,-0.67193604
354,71,50,m,0,0,4.8,20,L,-0.67193604
355,71,50,m,0,0,4.8,22,L,-0.67193604
356,71,50,m,0,0,5,21,L,-0.67193604
357,71,50,m,0,0,4.5,21,L,-0.67193604
358,72,52,m,1,0,3.5,69,U,0.66833377
359,72,52,m,1,0,3.8,65,U,0.66833377
360,72,52,m,1,0,3.8,62,U,0.66833377
361,72,52,m,1,0,3.8,67,U,0.66833377
362,72,52,m,1,0,4,40,U,0.66833377
363,72,52,m,1,0,4.2,45,U,0.66833377
364,73,51,m,1,0,4.6,574,L,0.7924695
365,73,51,m,1,0,4.5,579,L,0.7924695
366,73,51,m,1,0,4.5,537,L,0.7924695
367,73,51,m,1,0,4.6,581,L,0.7924695
368,73,51,m,1,0,4.7,527,L,0.7924695
369,74,38,m,1,0,3.7,87,L,-0.6548505
370,74,38,m,1,0,4.1,84,L,-0.6548505
371,74,38,m,1,0,3.6,79,L,-0.6548505
372,74,38,m,1,0,4,92,L,-0.6548505
373,75,47,f,1,0,3.8,24,L,0.25105464
374,75,47,f,1,0,3.4,67,L,0.25105464
375,76,43,f,1,0,3.6,103,L,-0.23971781
376,76,43,f,1,0,2.8,190,L,-0.23971781
377,77,38,f,0,0,4.4,68,L,-1.1133465
378,77,38,f,0,0,4.1,60,L,-1.1133465
379,77,38,f,0,0,3.5,64,L,-1.1133465
380,77,38,f,0,0,3.4,31,L,-1.1133465
381,77,38,f,0,0,4.1,62,L,-1.1133465
382,77,38,f,0,0,4.2,37,L,-1.1133465
383,78,43,m,1,0,4.1,13,L,-0.113593474
384,78,43,m,1,0,4.3,13,L,-0.113593474
385,78,43,m,1,0,4.1,15,U,-0.113593474
386,78,43,m,1,0,3.4,79,U,-0.113593474
387,79,57,m,1,0,4.3,13,U,-0.8351366
388,79,57,m,1,0,3.5,98,U,-0.8351366
389,79,57,m,1,0,3.6,97,U,-0.8351366
390,80,51,f,1,0,4,11,U,0.90059936
391,80,51,f,1,0,3.7,78,U,0.90059936
392,80,51,f,1,0,3,56,U,0.90059936
393,80,51,f,1,0,4.6,20,U,0.90059936
394,81,45,m,0,0,4.8,17,L,-0.62076896
395,81,45,m,0,0,4,20,L,-0.62076896
396,81,45,m,0,0,4.8,19,L,-0.62076896
397,81,45,m,0,0,4.6,26,L,-0.62076896
398,82,57,m,1,0,3.5,14,L,-0.85524124
399,82,57,m,1,0,3.4,18,L,-0.85524124
400,82,57,m,1,0,4.4,12,L,-0.85524124
401,82,57,m,1,0,3.6,19,L,-0.85524124
402,82,57,m,1,0,3.8,16,L,-0.85524124
403,82,57,m,1,0,3.7,16,L,-0.85524124
404,82,57,m,1,0,4.7,12,L,-0.85524124
405,82,57,m,1,0,4.5,17,L,-0.85524124
406,82,57,m,1,0,5,15,U,-0.85524124
407,82,57,m,1,0,3.8,16,L,-0.85524124
408,82,57,m,1,0,4.1,17,L,-0.85524124
409,83,47,f,0,0,3.6,21,L,1.0659064
410,83,47,f,0,0,4.3,17,L,1.0659064
411,83,47,f,0,0,4.4,10,L,1.0659064
412,83,47,f,0,0,4.7,17,L,1.0659064
413,83,47,f,0,0,3.9,17,L,1.0659064
414,84,54,f,1,0,3.8,18,L,1.1442531
415,84,54,f,1,0,4.8,16,L,1.1442531
416,84,54,f,1,0,4.3,26,L,1.1442531
417,84,54,f,1,0,4.6,18,L,1.1442531
418,84,54,f,1,0,3.8,20,L,1.1442531
419,85,58,m,0,0,4.7,17,L,1.6859847
420,85,58,m,0,0,5,21,L,1.6859847
421,85,58,m,0,0,4.9,21,L,1.6859847
422,85,58,m,0,0,4.6,20,L,1.6859847
423,85,58,m,0,0,4.6,20,L,1.6859847
424,85,58,m,0,0,5,13,L,1.6859847
425,85,58,m,0,0,4.6,16,L,1.6859847
426,85,58,m,0,0,4.9,17,L,1.6859847
427,86,42,m,1,0,4.9,18,L,1.6848019
428,86,42,m,1,0,4,24,L,1.6848019
429,86,42,m,1,0,3.9,20,U,1.6848019
430,87,33,m,1,0,4.3,120,L,0.63624346
431,87,33,m,1,0,4.1,155,L,0.63624346
432,88,62,m,1,0,3.3,38,L,-1.2699752
433,88,62,m,1,0,2.9,70,L,-1.2699752
434,88,62,m,1,0,2.8,149,L,-1.2699752
435,88,62,m,1,0,2.8,137,L,-1.2699752
436,88,62,m,1,0,4,29,U,-1.2699752
437,88,62,m,1,0,3.3,55,L,-1.2699752
438,88,62,m,1,0,3,136,L,-1.2699752
439,89,35,f,1,0,3.4,96,L,1.6811029
440,89,35,f,1,0,3.6,60,L,1.6811029
441,89,35,f,1,0,3.8,108,L,1.6811029
442,91,52,f,1,0,4,111,L,-0.090181455
443,91,52,f,1,0,4.7,17,L,-0.090181455
444,91,52,f,1,0,4.7,19,L,-0.090181455
445,92,60,f,1,1,3.9,27,U,-0.14502572
447,92,60,f,1,1,3.9,19,U,-0.14502572
448,92,60,f,1,1,4.4,13,U,-0.14502572
449,92,60,f,1,1,3.6,19,U,-0.14502572
450,92,60,f,1,1,4.2,22,U,-0.14502572
451,92,60,f,1,1,3.4,20,U,-0.14502572
452,92,60,f,1,1,4,27,U,-0.14502572
453,93,32,m,1,0,4.3,132,L,1.1430446
454,93,32,m,1,0,4.2,127,L,1.1430446
455,93,32,m,1,0,4.4,85,U,1.1430446
456,93,32,m,1,0,4.5,101,L,1.1430446
457,93,32,m,1,0,3.2,21,L,1.1430446
458,93,32,m,1,0,4.3,86,U,1.1430446
459,94,42,f,1,1,3.3,84,U,0.33205065
460,94,42,f,1,1,3.3,67,U,0.33205065
461,94,42,f,1,1,3.2,66,U,0.33205065
462,94,42,f,1,1,4.1,35,L,0.33205065
